feat,importance
month,0.0007316107853202056
cat_convenience_store,0.00017636558979273437
cat_distillery_brewery,4.3770877953861625e-05
cat_gas_station,1.5211124889719945e-05
cat_general_store,7.075957393356445e-08
cat_grocery_store,0.001663066458052324
cat_liquor_store_bar,0.000615933564707899
cat_other,1.6657594593920575e-05
cat_pharmacy,2.3005985043157304e-06
cat_unknown,2.027595843167824e-06
female_18_24,0.003948272194772845
female_25_34,0.001439314937868312
female_35_44,0.007823269748299515
female_45_64,0.0020779899492735275
female_65_over,0.004084117778101371
male_18_24,0.004629595520820945
male_25_34,0.007657226010055494
male_35_44,0.0035887082333424013
male_45_64,0.006119183102870589
male_65_over,0.0036405699450964193
annual_income,0.007849349434532417
excessive_drinking,0.004502726363714782
gassale_x_gasstore,0.00013043000621072202
l_100_agave_tequila,0.03675036593120519
l_aged_dark_rum,0.0010959557786941613
l_american_brandies,0.0024100818533878497
l_american_cordials_liqueurs,0.002666627375529096
l_american_distilled_spirits_specialty,0.0025215163870399874
l_american_dry_gins,0.004380079667357294
l_american_flavored_vodka,0.1040338492511916
l_american_schnapps,0.05906439074528039
l_american_sloe_gins,0.00012642125938979763
l_american_vodkas,0.009579620833041272
l_blended_whiskies,0.00732624857655654
l_bottled_in_bond_bourbon,0.0009223039661950135
l_canadian_whiskies,0.0037543607741614957
l_cocktails_rtd,0.007592018426100299
l_coffee_liqueurs,0.0013998556173165449
l_corn_whiskies,0.00016238670028785067
l_cream_liqueurs,0.0015701391016569733
l_flavored_gin,0.0027711392412500084
l_flavored_rum,0.001759103670117368
l_gold_rum,0.001439808289140338
l_imported_brandies,0.002478061235772448
l_imported_cordials_liqueurs,0.28476362434417085
l_imported_distilled_spirits_specialty,0.004564342205864775
l_imported_dry_gins,0.0026710252757637964
l_imported_flavored_vodka,0.03413881757233952
l_imported_schnapps,0.0033199832494201194
l_imported_vodkas,0.002184325334474462
l_irish_whiskies,0.0034568300862371946
l_mezcal,0.001917784132678625
l_mixto_tequila,0.1644916140332454
l_neutral_grain_spirits,0.002042375749369844
l_neutral_grain_spirits_flavored,0.0010208486400316691
l_scotch_whiskies,0.004546860743606827
l_single_barrel_bourbon_whiskies,0.0020919363790312057
l_single_malt_scotch,0.001459233022209314
l_special_order_items,0.0014097764618892623
l_spiced_rum,0.002164632324106365
l_straight_bourbon_whiskies,0.1185870677458578
l_straight_rye_whiskies,0.006251759367836345
l_temporary_specialty_packages,0.0036137668765389413
l_tennessee_whiskies,0.0023279980301601656
l_triple_sec,0.03355016380985308
l_whiskey_liqueur,0.002312994301554768
l_white_rum,0.0025501374588968516
