feat,importance
month,0.001157135881338219
s_convenience_store,0.00012513291395598587
s_distillery_brewery,3.7926726675762846e-05
s_gas_station,0.00017093490617153996
s_general_store,7.536106002450099e-07
s_grocery_store,0.0018989261143759096
s_liquor_store_bar,0.0007012246537808594
s_other,4.878997533918682e-06
s_pharmacy,7.838117732858108e-07
s_unknown,1.6606686674060312e-06
c_adair,1.9797166879341536e-06
c_adams,2.461720698244636e-07
c_allamakee,1.2050088068990624e-06
c_appanoose,3.3519899060937113e-06
c_audubon,4.3234417633763854e-08
c_benton,1.4396487135116139e-05
c_black hawk,0.00030291334260698275
c_boone,2.5518301614583654e-06
c_bremer,7.383271149337371e-06
c_buchanan,5.2945276421491235e-06
c_buena vista,5.610966950596429e-06
c_butler,1.837569133016302e-07
c_calhoun,5.4295048014055644e-08
c_carroll,4.2791856414513515e-05
c_cass,9.555050710129796e-07
c_cedar,9.574809873948094e-08
c_cerro gordo,4.137914083108944e-05
c_cherokee,3.9485672976190695e-07
c_chickasaw,9.463669628588238e-08
c_clarke,5.303336871624009e-05
c_clay,4.576544837683206e-06
c_clayton,3.620611490382164e-06
c_clinton,0.0014545093031157726
c_crawford,6.650123402549879e-06
c_dallas,0.0029515899162589412
c_davis,2.8389195128416507e-08
c_decatur,0.0
c_delaware,2.4742333747034866e-05
c_des moines,2.9484854569203132e-05
c_dickinson,6.161748497585486e-05
c_dubuque,6.441326054176638e-05
c_emmet,3.8719977714584315e-07
c_fayette,1.1567785480864674e-06
c_floyd,6.714588910585893e-07
c_franklin,4.461304603083225e-08
c_fremont,1.230550038499485e-07
c_greene,3.873875264070506e-07
c_grundy,2.902413356827014e-07
c_guthrie,4.5039801802923806e-07
c_hamilton,1.3384920549515275e-06
c_hancock,7.904198883455088e-07
c_hardin,5.585905894329756e-06
c_harrison,1.9551710990397805e-05
c_henry,2.1563555033113772e-06
c_howard,4.6281611960502813e-07
c_humboldt,2.1751412883622442e-05
c_ida,2.1635509385409498e-07
c_iowa,1.0828339838122465e-06
c_jackson,8.816499997302963e-07
c_jasper,2.713329810498119e-06
c_jefferson,4.420119564312843e-06
c_johnson,0.00026482228926452076
c_jones,1.7557382106393437e-05
c_keokuk,2.748808538042108e-07
c_kossuth,5.13856477600725e-06
c_lee,5.6954170993426955e-05
c_linn,0.0005184135476729983
c_louisa,1.4113953885061807e-06
c_lucas,2.3375095575416072e-07
c_lyon,4.1461532821963794e-06
c_madison,1.6412028116218556e-06
c_mahaska,3.503846631122755e-05
c_marion,7.85838538828653e-06
c_marshall,2.2216470918375762e-05
c_mills,1.6027141026241806e-07
c_mitchell,3.702257096382896e-06
c_monona,2.442106010521059e-06
c_monroe,1.1007369200813639e-08
c_montgomery,4.940584903162618e-07
c_muscatine,6.955495015126888e-06
c_o'brien,1.293545941161137e-05
c_osceola,6.794646803291736e-07
c_page,1.6718299706548339e-06
c_palo alto,2.6160184336647255e-06
c_plymouth,1.966752451198741e-06
c_pocahontas,9.922884090814631e-10
c_polk,0.006536934062314471
c_pottawattamie,0.002191015222840833
c_poweshiek,5.164418452916981e-06
c_ringgold,7.858951498117594e-08
c_sac,4.043390261745739e-07
c_scott,0.0002662690973393879
c_shelby,2.337057215564565e-05
c_sioux,1.0289959968103841e-05
c_story,0.0002809869891063696
c_tama,1.3754554864262192e-06
c_taylor,6.62392394131653e-08
c_union,1.8971442188779002e-06
c_van buren,3.513183606122772e-07
c_wapello,1.5607085184427757e-05
c_warren,1.383494362308281e-05
c_washington,3.0813465498154615e-05
c_wayne,1.238614076969339e-07
c_webster,8.184591371339944e-06
c_winnebago,3.0893230804598103e-07
c_winneshiek,3.816497853130438e-06
c_woodbury,0.00041008480917257537
c_worth,2.45961914517552e-07
c_wright,2.8627237348767415e-07
l_100_agave_tequila,0.06712590536893437
l_aged_dark_rum,0.001766508896500177
l_american_brandies,0.0023967388179624944
l_american_cordials_liqueurs,0.31704538245426217
l_american_distilled_spirits_specialty,0.0031676024504155107
l_american_dry_gins,0.005270538041515986
l_american_flavored_vodka,0.02822051128003551
l_american_schnapps,0.0032946064923599083
l_american_sloe_gins,0.00023262929988025863
l_american_vodkas,0.009980496357141497
l_blended_whiskies,0.004374623999023561
l_bottled_in_bond_bourbon,0.0033599332202534043
l_canadian_whiskies,0.0014112031099120272
l_cocktails_rtd,0.011970848799863456
l_coffee_liqueurs,0.0024278955036250447
l_corn_whiskies,0.0005288322412639832
l_cream_liqueurs,0.0044021056039758935
l_flavored_gin,0.0018689437599928402
l_flavored_rum,0.0022624319231449234
l_gold_rum,0.0023221880909253326
l_imported_brandies,0.004580626736375756
l_imported_cordials_liqueurs,0.06825605227637595
l_imported_distilled_spirits_specialty,0.006039908293045105
l_imported_dry_gins,0.0047251401948203275
l_imported_flavored_vodka,0.050838585199294344
l_imported_schnapps,0.0028771036235159418
l_imported_vodkas,0.002396148457642073
l_irish_whiskies,0.006719783958282191
l_mezcal,0.004111576784690195
l_mixto_tequila,0.021797475016910782
l_neutral_grain_spirits,0.007843985260774067
l_neutral_grain_spirits_flavored,0.0014032813480304295
l_scotch_whiskies,0.018224253385234836
l_single_barrel_bourbon_whiskies,0.010890494228581111
l_single_malt_scotch,0.0023573065711373687
l_special_order_items,0.002738808076321521
l_spiced_rum,0.001907307554547765
l_straight_bourbon_whiskies,0.07862869861418727
l_straight_rye_whiskies,0.0785113924295132
l_temporary_specialty_packages,0.003891371591435883
l_tennessee_whiskies,0.002416162694422944
l_triple_sec,0.10289610222522493
l_whiskey_liqueur,0.004100035629434611
l_white_rum,0.01839860858413821
