lambda,log_lambda,rmse
0.1,-1.0,8396.156480830925
0.12067926406393285,-0.9183673469387755,8396.151292077988
0.14563484775012436,-0.8367346938775511,8396.145054327086
0.1757510624854792,-0.7551020408163265,8396.137561486126
0.21209508879201905,-0.6734693877551021,8396.128569701435
0.2559547922699536,-0.5918367346938775,8396.117791696153
0.3088843596477481,-0.5102040816326531,8396.104890876704
0.372759372031494,-0.4285714285714286,8396.08947553798
0.44984326689694454,-0.34693877551020413,8396.071093741099
0.5428675439323859,-0.2653061224489797,8396.049229747376
0.6551285568595507,-0.1836734693877552,8396.023303348455
0.7906043210907697,-0.10204081632653074,8395.992674066549
0.9540954763499939,-0.020408163265306135,8395.956653019359
1.151395399326447,0.061224489795918234,8395.914526348553
1.3894954943731375,0.1428571428571428,8395.865595453712
1.6768329368110073,0.22448979591836712,8395.809240896126
2.0235896477251565,0.30612244897959173,8395.745018616979
2.442053094548651,0.3877551020408163,8395.672798892792
2.9470517025518097,0.46938775510204067,8395.592959875747
3.5564803062231287,0.5510204081632653,8395.50664813634
4.291934260128776,0.6326530612244896,8395.416117647232
5.17947467923121,0.7142857142857142,8395.325155317876
6.25055192527397,0.7959183673469385,8395.239594733504
7.543120063354615,0.8775510204081631,8395.167909665899
9.102981779915218,0.9591836734693877,8395.121865228673
10.985411419875584,1.0408163265306123,8395.117188081287
13.257113655901081,1.1224489795918364,8395.17419966251
15.998587196060573,1.204081632653061,8395.318341096303
19.306977288832496,1.2857142857142856,8395.580509779584
23.29951810515372,1.3673469387755102,8395.997132371273
28.11768697974228,1.4489795918367343,8396.609925407272
33.93221771895326,1.5306122448979589,8397.465350924653
40.94915062380423,1.6122448979591835,8398.61386184563
49.417133613238335,1.693877551020408,8400.109137869182
59.63623316594643,1.7755102040816326,8402.007605996
71.96856730011514,1.8571428571428568,8404.368576585806
86.85113737513521,1.9387755102040813,8407.255268724879
104.81131341546852,2.020408163265306,8410.73684241814
126.48552168552958,2.1020408163265305,8414.891341159424
152.6417967175232,2.1836734693877546,8419.80925431397
184.20699693267144,2.265306122448979,8425.59731348624
222.29964825261933,2.346938775510204,8432.382181427884
268.26957952797244,2.4285714285714284,8440.313857632229
323.74575428176433,2.510204081632653,8449.568842693476
390.6939937054613,2.591836734693877,8460.35328462838
471.486636345739,2.6734693877551017,8472.906397409426
568.9866029018293,2.7551020408163263,8487.504348090817
686.6488450042998,2.836734693877551,8504.46454076846
828.6427728546843,2.9183673469387754,8524.149802683201
1000.0,3.0,8546.971460824972
