"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US19091","Humboldt County, Iowa","4236","88","338","102","101","48","187","85","155","63","114","41","180","73","135","52","247","86","144","60","319","91","479","106","614","99","417","105","281","77","233","65","292","89",
"0500000US19093","Ida County, Iowa","2994","99","110","50","116","45","91","44","161","79","101","38","130","40","82","33","156","57","128","38","368","104","257","58","441","100","384","89","147","44","158","52","164","53",
"0500000US19095","Iowa County, Iowa","6849","136","197","78","162","70","181","53","311","124","163","77","340","117","299","102","246","113","281","123","622","138","760","158","1027","186","732","146","497","125","588","126","443","117",
"0500000US19097","Jackson County, Iowa","8303","200","443","127","277","91","324","105","243","94","233","73","275","104","344","122","433","100","392","115","529","116","794","153","1414","189","832","133","594","134","750","191","426","82",
"0500000US19099","Jasper County, Iowa","14748","306","390","129","344","123","532","190","566","194","619","178","604","165","513","139","687","177","779","220","1066","184","1822","268","1884","213","1601","211","1061","154","1307","189","973","183",
"0500000US19101","Jefferson County, Iowa","6878","225","544","190","354","134","189","68","359","156","422","154","379","134","312","148","254","90","236","98","526","156","799","192","844","201","664","140","370","87","335","118","291","102",
"0500000US19103","Johnson County, Iowa","62214","711","3948","506","2317","398","1881","337","2163","396","2253","422","2601","450","2075","363","2155","396","2371","418","3900","467","5540","573","7185","651","6388","708","4673","486","5316","494","7448","533",
"0500000US19105","Jones County, Iowa","8109","195","313","110","203","96","210","80","310","86","217","71","356","109","301","113","396","127","340","98","694","175","777","147","1307","193","1087","163","466","100","748","162","384","117",
"0500000US19107","Keokuk County, Iowa","4065","101","126","38","224","68","216","67","210","66","115","43","171","48","225","58","123","42","158","43","446","96","439","73","498","82","468","77","222","54","240","49","184","63",
"0500000US19109","Kossuth County, Iowa","6502","154","211","79","177","60","393","119","219","75","320","83","153","57","265","85","398","112","330","106","554","113","672","108","889","134","786","145","461","92","372","78","302","82",
"0500000US19111","Lee County, Iowa","14305","295","682","159","778","179","783","168","727","171","656","182","756","195","552","132","566","145","554","177","1115","237","1668","272","1940","289","1427","234","758","148","798","157","545","156",
